transaction_id,step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
TXN100039,687,DEBIT,129237.65,145001.34,15763.69,56818.03,186055.68
TXN100040,563,PAYMENT,35326.99,158522.68,123195.69,1507.97,36834.96
TXN100041,567,TRANSFER,39194.96,81257.29,42062.33,18028.92,57223.88
TXN100042,244,TRANSFER,77198.11,130988.12,53790.01,271429.9,348628.01
TXN100043,505,PAYMENT,41541.02,71170.13,29629.11,194254.94,235795.96
TXN100044,131,CASH_OUT,53675.2,105338.17,51662.97,81912.19,135587.39
TXN100045,485,CASH_OUT,67751.89,96586.15,28834.26,53157.75,120909.64
TXN100046,647,TRANSFER,6886.99,35788.99,28902.0,88280.02,95167.01
TXN100047,21,TRANSFER,50970.86,77722.21,26751.35,34439.08,85409.94
TXN100048,167,PAYMENT,108259.69,192782.54,84522.85,282459.87,390719.56
TXN100049,274,TRANSFER,40449.44,50091.76,9642.32,235261.85,275711.29
TXN100050,388,PAYMENT,20776.18,27193.85,6417.67,138717.35,159493.53
TXN100051,601,PAYMENT,24402.38,84006.83,59604.45,259488.78,283891.16
TXN100052,316,TRANSFER,40468.6,158172.38,117703.78,74837.46,115306.06
TXN100053,14,PAYMENT,103070.18,116638.57,13568.39,215136.17,318206.35
TXN100054,242,PAYMENT,65350.07,136354.48,71004.41,256839.75,322189.82
TXN100055,346,TRANSFER,31316.2,38344.12,7027.92,107030.61,138346.81
TXN100056,565,PAYMENT,19322.82,123980.16,104657.34,227239.33,246562.15
TXN100057,340,PAYMENT,37859.39,65038.33,27178.94,88521.7,126381.09
TXN100058,92,CASH_OUT,121998.25,166943.52,44945.27,89657.14,211655.39
TXN100059,367,TRANSFER,107539.39,126045.11,18505.72,32117.15,139656.54
TXN100060,455,PAYMENT,12462.62,40171.83,27709.21,132017.41,144480.03
TXN100061,428,CASH_OUT,8774.25,13391.03,4616.78,218913.57,227687.82
TXN100062,509,PAYMENT,4408.5,9005.33,4596.83,282066.24,286474.74
TXN100063,35,CASH_OUT,4771.14,74596.01,69824.87,181139.1,185910.24
TXN100064,206,TRANSFER,33412.62,53537.3,20124.68,258940.66,292353.28
TXN100065,81,DEBIT,80766.53,129394.98,48628.45,246748.39,327514.92
TXN100066,562,CASH_OUT,83922.16,100117.1,16194.94,52002.92,135925.08
TXN100067,388,CASH_OUT,24246.6,53570.85,29324.25,145745.23,169991.83
TXN100068,2,CASH_OUT,6506.36,30272.94,23766.58,35077.06,41583.42
TXN100069,390,PAYMENT,1285.07,25876.35,24591.28,204645.95,205931.02
TXN100070,566,PAYMENT,65726.33,172999.75,107273.42,284969.9,350696.23
TXN100071,106,CASH_OUT,13677.17,49073.85,35396.68,41126.84,54804.01
TXN100072,477,PAYMENT,89712.78,130516.27,40803.49,220164.94,309877.72
TXN100073,703,CASH_OUT,52773.74,162231.84,109458.1,189671.45,242445.19
TXN100074,402,PAYMENT,105132.7,123009.22,17876.52,175081.51,280214.21
TXN100075,730,TRANSFER,149015.94,171983.26,22967.32,117036.07,266052.01
TXN100076,556,PAYMENT,44323.74,78782.55,34458.81,106539.49,150863.23
TXN100077,162,PAYMENT,159995.75,191266.33,31270.58,13574.76,173570.51
TXN100078,202,TRANSFER,18596.23,27062.43,8466.2,65372.61,83968.84
TXN100079,270,TRANSFER,10370.62,20878.83,10508.21,4553.06,14923.68
TXN100080,271,TRANSFER,22487.08,131909.08,109422.0,174425.13,196912.21
TXN100081,456,PAYMENT,78861.33,188594.81,109733.48,31755.97,110617.3
TXN100082,462,PAYMENT,82421.83,161872.25,79450.42,261905.82,344327.65
TXN100083,727,CASH_OUT,12264.31,15745.16,3480.85,156942.91,169207.22
TXN100084,252,PAYMENT,24652.18,56233.86,31581.68,209906.97,234559.15
TXN100085,702,TRANSFER,150540.84,186098.62,35557.78,123257.13,273797.97
TXN100086,296,TRANSFER,31109.65,50985.16,19875.51,168173.94,199283.59
TXN100087,725,CASH_OUT,20626.27,156343.5,135717.23,282797.75,303424.02
TXN100088,720,TRANSFER,147864.99,165113.87,17248.88,24820.21,172685.2
TXN100089,338,CASH_OUT,47608.7,99342.69,51733.99,76181.33,123790.03
TXN100090,53,DEBIT,27830.91,77576.61,49745.7,233996.5,261827.41
TXN100091,217,PAYMENT,53873.89,90299.82,36425.93,29621.16,83495.05
TXN100092,188,PAYMENT,4894.51,45779.46,40884.95,22698.33,27592.84
TXN100093,380,PAYMENT,102582.11,177933.49,75351.38,108462.42,211044.53
TXN100094,493,PAYMENT,40989.45,90398.62,49409.17,27650.39,68639.84
TXN100095,41,TRANSFER,65666.24,176550.66,110884.42,175523.53,241189.77
TXN100096,157,DEBIT,18524.71,21585.85,3061.14,67882.58,86407.29
TXN100097,15,PAYMENT,93900.87,197660.92,103760.05,268709.39,362610.26
TXN100098,65,PAYMENT,18232.56,88932.98,70700.42,235050.02,253282.58
TXN100099,521,PAYMENT,4202.46,10042.25,5839.79,209911.56,214114.02
TXN100100,344,CASH_OUT,6696.74,8085.36,1388.62,185083.21,191779.95
TXN100101,129,TRANSFER,24903.43,149368.35,124464.92,259039.72,283943.15
TXN100102,648,PAYMENT,26451.18,131977.59,105526.41,66918.62,93369.8
TXN100103,472,DEBIT,3466.75,160525.05,157058.3,261932.65,265399.4
TXN100104,63,CASH_OUT,487.0,21520.82,21033.82,236847.69,237334.69
TXN100105,139,PAYMENT,5683.3,7596.39,1913.09,224448.25,230131.55
TXN100106,499,TRANSFER,67456.67,101961.57,34504.9,168376.7,235833.37
TXN100107,593,CASH_OUT,25369.98,77825.25,52455.27,73873.25,99243.23
TXN100108,392,PAYMENT,58513.5,92658.41,34144.91,127064.37,185577.87
TXN100109,675,PAYMENT,71739.63,198321.89,126582.26,238071.2,309810.83
TXN100110,419,PAYMENT,166608.42,194164.62,27556.2,9533.55,176141.97
TXN100111,289,PAYMENT,164115.56,188491.92,24376.36,234615.23,398730.79
TXN100112,379,CASH_OUT,56410.7,156876.61,100465.91,72021.22,128431.92
TXN100113,490,DEBIT,54912.31,71290.85,16378.54,43292.76,98205.07
TXN100114,231,PAYMENT,57742.72,82720.12,24977.4,34710.4,92453.12
TXN100115,41,PAYMENT,31491.42,110148.4,78656.98,8175.0,39666.42
TXN100116,28,PAYMENT,35983.05,166191.62,130208.57,157075.95,193059.0
TXN100117,135,PAYMENT,5936.6,14208.21,8271.61,65477.96,71414.56
TXN100118,201,CASH_OUT,60062.9,85147.23,25084.33,296829.53,356892.43
TXN100119,33,PAYMENT,14681.97,16982.22,2300.25,172331.03,187013.0
TXN100120,48,PAYMENT,71147.41,103174.19,32026.78,41365.58,112512.99
TXN100121,503,PAYMENT,138673.61,179830.71,41157.1,206628.76,345302.37
TXN100122,407,TRANSFER,85620.62,156605.74,70985.12,269323.07,354943.69
TXN100123,574,PAYMENT,34627.36,45954.56,11327.2,223553.85,258181.21
TXN100124,728,CASH_OUT,138235.07,195210.17,56975.1,22931.96,161167.03
TXN100125,99,PAYMENT,46173.67,133636.4,87462.73,268765.25,314938.92
TXN100126,684,CASH_OUT,1293.45,2580.33,1286.88,238178.82,239472.27
TXN100127,726,TRANSFER,37368.17,51454.99,14086.82,47491.17,84859.34
TXN100128,547,PAYMENT,2677.63,52512.3,49834.67,15535.77,18213.4
TXN100129,739,PAYMENT,10439.26,14316.23,3876.97,167193.17,177632.43
TXN100130,613,CASH_OUT,32315.06,191985.39,159670.33,46810.74,79125.8
TXN100131,462,DEBIT,44893.35,95911.93,51018.58,250377.29,295270.64
TXN100132,643,PAYMENT,130713.18,179215.01,48501.83,107500.4,238213.58
TXN100133,5,PAYMENT,15282.12,64781.99,49499.87,273867.73,289149.85
TXN100134,218,DEBIT,5829.96,25484.1,19654.14,169706.45,175536.41
TXN100135,503,TRANSFER,35051.65,95130.05,60078.4,54801.72,89853.37
TXN100136,398,PAYMENT,18732.28,23234.35,4502.07,41879.66,60611.94
TXN100137,393,DEBIT,1013.01,97460.09,96447.08,172941.73,173954.74
TXN100138,207,PAYMENT,149531.14,184099.29,34568.15,228565.08,378096.22
TXN100139,15,TRANSFER,15334.14,104393.24,89059.1,234451.69,249785.83
TXN100140,554,PAYMENT,110052.95,123491.7,13438.75,82727.22,192780.17
TXN100141,461,PAYMENT,27298.55,31749.37,4450.82,61274.03,88572.58
TXN100142,691,PAYMENT,4153.77,9225.26,5071.49,5026.89,9180.66
TXN100143,575,CASH_OUT,10541.74,22606.19,12064.45,203759.75,214301.49
TXN100144,743,PAYMENT,52588.7,119907.05,67318.35,22970.48,75559.18
TXN100145,241,PAYMENT,11197.13,19454.83,8257.7,126228.36,137425.49
TXN100146,564,PAYMENT,6852.0,75510.58,68658.58,180504.65,187356.65
TXN100147,96,TRANSFER,4302.79,110243.34,105940.55,281132.68,285435.47
TXN100148,734,DEBIT,4787.96,78036.23,73248.27,93540.64,98328.6
TXN100149,485,PAYMENT,13443.83,33154.92,19711.09,74931.65,88375.48
TXN100150,407,TRANSFER,14069.05,55121.37,41052.32,196248.05,210317.1
TXN100151,231,CASH_OUT,104662.98,185699.35,81036.37,185771.71,290434.69
TXN100152,655,TRANSFER,120912.14,135358.46,14446.32,99632.93,220545.07
TXN100153,171,PAYMENT,35192.24,99461.54,64269.3,278430.55,313622.79
TXN100154,541,PAYMENT,1581.22,3036.62,1455.4,253458.7,255039.92
TXN100155,36,PAYMENT,75402.67,198486.87,123084.2,67194.76,142597.43
TXN100156,525,PAYMENT,102733.47,134455.26,31721.79,71742.76,174476.23
TXN100157,160,PAYMENT,51808.65,63726.03,11917.38,153690.1,205498.75
TXN100158,699,CASH_OUT,139121.05,175914.1,36793.05,232071.63,371192.68
TXN100159,243,PAYMENT,45664.04,52057.11,6393.07,13212.11,58876.15
TXN100160,86,PAYMENT,3760.72,109031.31,105270.59,208000.55,211761.27
TXN100161,578,TRANSFER,96494.46,127396.12,30901.66,194470.77,290965.23
TXN100162,682,PAYMENT,30288.3,44602.14,14313.84,69444.03,99732.33
TXN100163,557,CASH_OUT,41787.31,195690.26,153902.95,204405.9,246193.21
TXN100164,574,TRANSFER,128965.76,149764.29,20798.53,282054.96,411020.72
TXN100165,646,PAYMENT,15859.69,111783.74,95924.05,14035.75,29895.44
TXN100166,28,CASH_OUT,22457.77,36528.62,14070.85,95895.62,118353.39
TXN100167,620,TRANSFER,2363.1,11244.71,8881.61,131453.01,133816.11
TXN100168,556,TRANSFER,25350.08,64351.94,39001.86,269778.11,295128.19
TXN100169,340,PAYMENT,98002.45,150760.87,52758.42,288678.43,386680.88
TXN100170,331,PAYMENT,27731.81,54231.59,26499.78,133234.57,160966.38
TXN100171,640,CASH_OUT,42226.72,108141.47,65914.75,225008.52,267235.24
TXN100172,506,PAYMENT,43781.93,145725.46,101943.53,159498.31,203280.24
TXN100173,348,PAYMENT,16686.87,22034.77,5347.9,161334.88,178021.75
TXN100174,473,PAYMENT,18935.22,137216.95,118281.73,83429.85,102365.07
TXN100175,231,CASH_OUT,7395.57,18828.24,11432.67,65086.87,72482.44
TXN100176,190,PAYMENT,157203.76,193043.38,35839.62,86401.6,243605.36
TXN100177,225,CASH_OUT,74705.13,97934.63,23229.5,166898.4,241603.53
TXN100178,385,TRANSFER,11210.53,30559.88,19349.35,8746.56,19957.09
TXN100179,377,CASH_OUT,47418.47,68805.54,21387.07,272174.68,319593.15
TXN100180,283,DEBIT,61619.5,82976.58,21357.08,46885.11,108504.61
TXN100181,633,CASH_OUT,121574.75,151757.91,30183.16,66026.6,187601.35
TXN100182,628,CASH_OUT,73604.44,148813.05,75208.61,155482.85,229087.29
TXN100183,259,PAYMENT,23532.11,122582.13,99050.02,213034.43,236566.54
TXN100184,359,TRANSFER,5131.93,21633.18,16501.25,28718.72,33850.65
TXN100185,710,PAYMENT,8396.67,30738.09,22341.42,95308.41,103705.08
TXN100186,456,PAYMENT,10341.33,19204.51,8863.18,290602.38,300943.71
TXN100187,411,TRANSFER,4533.39,115645.97,111112.58,78702.89,83236.28
TXN100188,649,TRANSFER,101095.39,175489.12,74393.73,93915.04,195010.43
TXN100189,318,PAYMENT,29096.39,87043.2,57946.81,250949.55,280045.94
TXN100190,677,TRANSFER,8889.2,32589.21,23700.01,15064.33,23953.53
TXN100191,225,CASH_OUT,88653.01,111829.44,23176.43,139383.95,228036.96
TXN100192,234,TRANSFER,68129.6,162444.57,94314.97,113885.03,182014.63
TXN100193,684,CASH_OUT,14045.0,148471.56,134426.56,94976.03,109021.03
TXN100194,664,CASH_OUT,131522.22,176349.43,44827.21,85709.88,217232.1
TXN100195,374,DEBIT,2931.37,55941.47,53010.1,27412.23,30343.6
TXN100196,672,TRANSFER,25742.75,39193.8,13451.05,94447.75,120190.5
TXN100197,608,CASH_OUT,123001.01,176023.39,53022.38,12915.72,135916.73
TXN100198,472,DEBIT,42641.2,131683.28,89042.08,234289.16,276930.36
TXN100199,233,DEBIT,46526.38,62530.32,16003.94,119468.34,165994.72
TXN100200,692,PAYMENT,69683.29,148598.44,78915.15,133171.15,202854.44
TXN100201,113,PAYMENT,68889.05,163116.12,94227.07,268078.38,336967.43
TXN100202,497,PAYMENT,6209.78,123188.16,116978.38,197416.5,203626.28
TXN100203,442,PAYMENT,36929.76,137732.88,100803.12,2417.73,39347.49
TXN100204,564,TRANSFER,63200.46,75364.35,12163.89,282952.45,346152.91
TXN100205,268,CASH_OUT,38731.28,107969.79,69238.51,71143.34,109874.62
TXN100206,510,CASH_OUT,52173.8,105069.75,52895.95,32284.26,84458.06
TXN100207,386,PAYMENT,82042.83,169685.53,87642.7,230438.45,312481.28
TXN100208,387,CASH_OUT,90000.25,168072.81,78072.56,150143.19,240143.44
TXN100209,113,TRANSFER,10761.06,166619.75,155858.69,130131.17,140892.23
TXN100210,613,CASH_OUT,897.58,2700.81,1803.23,74850.92,75748.5
TXN100211,625,DEBIT,98060.06,150034.32,51974.26,164241.45,262301.51
TXN100212,81,TRANSFER,28624.64,151855.94,123231.3,82315.38,110940.02
TXN100213,699,PAYMENT,25969.88,135836.58,109866.7,270474.9,296444.78
TXN100214,113,CASH_OUT,2873.19,151374.8,148501.61,64561.34,67434.53
TXN100215,2,PAYMENT,67281.23,168473.09,101191.86,265306.55,332587.78
TXN100216,642,PAYMENT,75051.04,94328.65,19277.61,167821.63,242872.67
TXN100217,220,CASH_OUT,5656.22,100659.02,95002.8,248546.44,254202.66
TXN100218,566,PAYMENT,4570.91,25380.45,20809.54,213853.8,218424.71
TXN100219,736,CASH_OUT,22129.48,77382.49,55253.01,209008.53,231138.01
TXN100220,225,PAYMENT,85201.02,128851.35,43650.33,97303.74,182504.76
TXN100221,385,CASH_OUT,90615.94,156189.76,65573.82,70169.08,160785.02
TXN100222,403,PAYMENT,16664.95,43833.21,27168.26,63265.87,79930.82
TXN100223,638,DEBIT,19193.03,27995.67,8802.64,257157.5,276350.53
TXN100224,130,CASH_OUT,73368.73,132776.88,59408.15,246128.05,319496.78
TXN100225,53,PAYMENT,706.57,875.04,168.47,132172.06,132878.63
TXN100226,684,TRANSFER,26632.55,36085.33,9452.78,39721.38,66353.93
TXN100227,730,DEBIT,1480.46,6299.74,4819.28,114675.68,116156.14
TXN100228,672,PAYMENT,8501.8,33793.58,25291.78,185803.04,194304.84
TXN100229,710,PAYMENT,4458.26,36673.2,32214.94,136320.95,140779.21
TXN100230,416,PAYMENT,24122.78,77840.88,53718.1,234056.78,258179.56
TXN100231,247,TRANSFER,72655.05,80764.26,8109.21,299286.85,371941.9
TXN100232,439,CASH_OUT,64914.33,174915.36,110001.03,57339.63,122253.96
TXN100233,203,TRANSFER,21090.98,102266.89,81175.91,137895.25,158986.23
TXN100234,184,PAYMENT,99723.95,144819.25,45095.3,129295.17,229019.12
TXN100235,123,PAYMENT,10484.5,21275.4,10790.9,91347.76,101832.26
TXN100236,401,TRANSFER,6509.54,45475.03,38965.49,59428.66,65938.2
TXN100237,294,PAYMENT,49091.09,140737.22,91646.13,19707.63,68798.72
TXN100238,280,PAYMENT,4180.69,11034.39,6853.7,266135.8,270316.49
TXN100239,610,DEBIT,66440.48,97576.23,31135.75,125954.61,192395.09
TXN100240,198,TRANSFER,3409.81,120074.11,116664.3,149068.66,152478.47
TXN100241,511,TRANSFER,30087.95,120628.06,90540.11,275082.61,305170.56
TXN100242,144,CASH_OUT,2388.65,5075.1,2686.45,232887.14,235275.79
TXN100243,609,TRANSFER,16143.1,64760.55,48617.45,39150.38,55293.48
TXN100244,201,CASH_OUT,72575.1,127479.88,54904.78,169625.99,242201.09
TXN100245,124,PAYMENT,13264.8,30225.45,16960.65,132675.68,145940.48
TXN100246,187,PAYMENT,46215.32,139235.42,93020.1,239163.32,285378.64
TXN100247,326,PAYMENT,127631.32,149312.08,21680.76,217269.76,344901.08
TXN100248,464,PAYMENT,112464.58,196402.85,83938.27,207121.72,319586.3
TXN100249,349,CASH_OUT,5322.88,42363.48,37040.6,102163.45,107486.33
TXN100250,660,PAYMENT,83957.21,165113.57,81156.36,241489.12,325446.33
TXN100251,403,PAYMENT,73515.41,104299.17,30783.76,15717.39,89232.8
TXN100252,346,PAYMENT,48045.4,75005.79,26960.39,47887.47,95932.87
TXN100253,511,PAYMENT,4064.98,24914.16,20849.18,100686.98,104751.96
TXN100254,147,CASH_OUT,128896.01,147233.37,18337.36,23042.23,151938.24
TXN100255,148,PAYMENT,19470.54,47553.59,28083.05,70498.28,89968.82
TXN100256,711,TRANSFER,11304.11,74598.69,63294.58,249045.29,260349.4
TXN100257,489,PAYMENT,2210.98,12977.17,10766.19,284475.46,286686.44
TXN100258,640,TRANSFER,15624.97,160372.7,144747.73,91380.71,107005.68
TXN100259,551,CASH_OUT,111260.07,153434.41,42174.34,79354.74,190614.81
TXN100260,338,PAYMENT,17418.21,146856.36,129438.15,83967.8,101386.01
TXN100261,641,CASH_OUT,7310.69,60238.98,52928.29,83315.73,90626.42
TXN100262,473,PAYMENT,26925.99,35109.27,8183.28,10779.05,37705.04
TXN100263,151,PAYMENT,40439.72,127691.88,87252.16,278074.9,318514.62
TXN100264,415,DEBIT,3727.07,99485.19,95758.12,64109.44,67836.51
TXN100265,298,PAYMENT,2026.17,36061.37,34035.2,126001.22,128027.39
TXN100266,611,PAYMENT,18751.17,137339.3,118588.13,2906.06,21657.23
TXN100267,263,CASH_OUT,39630.1,198229.72,158599.62,257386.53,297016.63
TXN100268,144,PAYMENT,90038.35,149570.31,59531.96,219347.2,309385.55
TXN100269,346,CASH_OUT,22222.11,148127.28,125905.17,284026.81,306248.92
TXN100270,624,PAYMENT,22011.78,190087.39,168075.61,234484.64,256496.42
TXN100271,572,DEBIT,28304.8,40985.81,12681.01,94111.95,122416.75
TXN100272,2,CASH_OUT,68816.73,113327.22,44510.49,74362.01,143178.74
TXN100273,304,TRANSFER,77873.92,195939.52,118065.6,209314.89,287188.81
TXN100274,254,DEBIT,16700.79,33476.18,16775.39,109233.83,125934.62
TXN100275,652,PAYMENT,40330.82,140200.27,99869.45,169864.5,210195.32
TXN100276,453,DEBIT,51574.97,117369.12,65794.15,1877.24,53452.21
TXN100277,37,PAYMENT,54161.48,117502.58,63341.1,18565.71,72727.19
TXN100278,160,PAYMENT,49538.15,139685.29,90147.14,160610.38,210148.53
TXN100279,9,PAYMENT,151900.13,185958.58,34058.45,169821.49,321721.62
TXN100280,233,TRANSFER,3805.22,156625.1,152819.88,225435.88,229241.1
TXN100281,99,PAYMENT,8261.15,11699.15,3438.0,39589.6,47850.75
TXN100282,659,CASH_OUT,20593.87,170619.24,150025.37,153954.93,174548.8
TXN100283,208,CASH_OUT,32748.44,45495.5,12747.06,58334.29,91082.73
TXN100284,131,DEBIT,42249.7,75694.38,33444.68,27958.84,70208.54
TXN100285,404,PAYMENT,70435.86,92615.7,22179.84,123148.74,193584.6
TXN100286,152,TRANSFER,9334.28,96440.75,87106.47,49000.99,58335.27
TXN100287,54,PAYMENT,44313.5,87318.49,43004.99,66534.59,110848.09
TXN100288,120,PAYMENT,85494.94,187501.98,102007.04,95266.37,180761.31
TXN100289,673,PAYMENT,90254.17,141350.79,51096.62,77816.52,168070.69
TXN100290,628,PAYMENT,61378.55,126418.54,65039.99,26277.39,87655.94
TXN100291,587,CASH_OUT,5130.4,10443.48,5313.08,26974.87,32105.27
TXN100292,625,TRANSFER,70947.19,180830.71,109883.52,57974.82,128922.01
TXN100293,420,PAYMENT,51823.16,181923.34,130100.18,15167.76,66990.92
TXN100294,422,PAYMENT,68584.57,156152.51,87567.94,187937.11,256521.68
TXN100295,104,PAYMENT,219.64,1902.33,1682.69,86198.01,86417.65
TXN100296,254,PAYMENT,10326.12,11927.41,1601.29,83923.79,94249.91
TXN100297,227,DEBIT,29341.23,45432.13,16090.9,99599.49,128940.72
TXN100298,112,PAYMENT,22904.09,26704.21,3800.12,198838.88,221742.97
TXN100299,510,PAYMENT,16957.35,80067.79,63110.44,261190.16,278147.51
TXN100300,473,PAYMENT,146287.36,184563.3,38275.94,227726.08,374013.44
TXN100301,99,CASH_OUT,69096.77,94676.06,25579.29,218258.77,287355.54
TXN100302,153,DEBIT,1944.49,3173.82,1229.33,145317.36,147261.85
TXN100303,338,CASH_OUT,32225.5,56907.77,24682.27,208141.67,240367.17
TXN100304,706,TRANSFER,2741.29,9396.68,6655.39,165828.71,168570.0
TXN100305,163,TRANSFER,5700.87,7739.38,2038.51,64875.16,70576.03
TXN100306,720,PAYMENT,25330.14,55506.11,30175.97,62576.51,87906.65
TXN100307,681,DEBIT,4055.57,55484.66,51429.09,88917.6,92973.17
TXN100308,161,CASH_OUT,45439.75,157531.76,112092.01,273240.8,318680.55
TXN100309,580,TRANSFER,164253.55,194979.51,30725.96,164224.45,328478.0
TXN100310,398,CASH_OUT,57192.17,74555.82,17363.65,220171.61,277363.78
TXN100311,277,CASH_OUT,76070.69,86062.93,9992.24,103967.63,180038.32
TXN100312,504,TRANSFER,96166.68,169035.49,72868.81,122314.73,218481.41
TXN100313,392,DEBIT,12433.89,53993.73,41559.84,37669.67,50103.56
TXN100314,135,DEBIT,4910.22,31698.17,26787.95,51388.49,56298.71
TXN100315,195,TRANSFER,30102.08,170691.38,140589.3,248206.97,278309.05
TXN100316,401,TRANSFER,270.02,9776.87,9506.85,175451.59,175721.61
TXN100317,640,PAYMENT,44402.19,124130.04,79727.85,101259.74,145661.93
TXN100318,33,TRANSFER,20312.9,112617.57,92304.67,240855.36,261168.26
TXN100319,688,PAYMENT,26162.14,69511.13,43348.99,73955.97,100118.11
TXN100320,460,TRANSFER,53375.41,63380.31,10004.9,292809.81,346185.22
TXN100321,470,DEBIT,60740.78,154485.62,93744.84,103445.28,164186.06
TXN100322,375,TRANSFER,14040.9,17741.71,3700.81,101193.29,115234.19
TXN100323,22,PAYMENT,26203.61,47738.47,21534.86,93573.57,119777.18
TXN100324,670,PAYMENT,33715.65,146623.52,112907.87,36633.45,70349.1
TXN100325,38,PAYMENT,35902.23,109889.96,73987.73,33341.14,69243.37
TXN100326,230,CASH_OUT,2204.75,26033.65,23828.9,194431.51,196636.26
TXN100327,365,PAYMENT,54142.69,176486.06,122343.37,262535.41,316678.1
TXN100328,563,PAYMENT,48423.52,78992.85,30569.33,237156.15,285579.67
TXN100329,438,PAYMENT,12288.45,165659.74,153371.29,42332.28,54620.73
TXN100330,283,CASH_OUT,30395.82,157648.75,127252.93,163674.64,194070.46
TXN100331,27,CASH_OUT,43710.79,125072.88,81362.09,31677.46,75388.25
TXN100332,226,PAYMENT,87650.1,99148.99,11498.89,13588.39,101238.49
TXN100333,277,PAYMENT,138814.89,195920.39,57105.5,196915.76,335730.65
TXN100334,609,TRANSFER,19500.02,29420.53,9920.51,160545.7,180045.72
TXN100335,284,TRANSFER,16463.56,145168.57,128705.01,24607.11,41070.67
TXN100336,481,TRANSFER,27246.33,38642.54,11396.21,10481.77,37728.1
TXN100337,453,PAYMENT,48192.76,67983.49,19790.73,296926.92,345119.68
TXN100338,659,TRANSFER,33835.39,62085.4,28250.01,9006.4,42841.79
TXN100339,516,PAYMENT,168865.35,189433.68,20568.33,133358.48,302223.83
TXN100340,547,CASH_OUT,57944.88,193487.56,135542.68,151385.71,209330.59
TXN100341,192,TRANSFER,31375.92,37011.58,5635.66,35184.04,66559.96
TXN100342,49,PAYMENT,4034.85,4896.01,861.16,50718.53,54753.38
TXN100343,512,PAYMENT,2914.22,144141.6,141227.38,105541.5,108455.72
TXN100344,17,TRANSFER,34445.13,83888.99,49443.86,228502.76,262947.89
TXN100345,172,CASH_OUT,16029.92,18223.63,2193.71,152124.73,168154.65
